,date,ad_id,platform,impressions,clicks,engagements
0,2025-06-30,chaos_to_clarity,Google,7371,42,53
1,2025-06-30,chaos_to_clarity,Meta,14469,127,180
2,2025-06-30,dynamic_synthetic_personas,LinkedIn,12186,260,397
3,2025-06-30,redefine_how_you_innovate,Meta,18926,146,245
4,2025-06-30,unlock_innovation_autonomously,Google,6784,55,70
5,2025-06-30,unlock_innovation_autonomously,LinkedIn,11833,179,267
6,2025-06-30,unlock_innovation_autonomously,Meta,13526,159,244
7,2025-07-07,autonomous_innovation_engine,LinkedIn,11012,178,259
8,2025-07-07,autonomous_innovation_engine,Meta,11485,103,136
9,2025-07-07,chaos_to_clarity,Google,8661,51,81
10,2025-07-07,chaos_to_clarity,Meta,12278,105,141
11,2025-07-07,dynamic_synthetic_personas,LinkedIn,8776,191,308
12,2025-07-07,redefine_how_you_innovate,Meta,12998,89,145
13,2025-07-07,unlock_innovation_autonomously,Google,6551,57,78
14,2025-07-07,unlock_innovation_autonomously,LinkedIn,11047,157,239
15,2025-07-07,unlock_innovation_autonomously,Meta,17491,196,300
16,2025-07-14,autonomous_desireability,LinkedIn,8773,100,145
17,2025-07-14,autonomous_innovation_engine,LinkedIn,13912,251,351
18,2025-07-14,autonomous_innovation_engine,Meta,10797,113,152
19,2025-07-14,chaos_to_clarity,Google,9047,55,72
20,2025-07-14,chaos_to_clarity,Meta,11855,116,205
21,2025-07-14,dynamic_synthetic_personas,LinkedIn,9905,227,344
22,2025-07-14,future_corporate_rnd,Google,9448,64,89
23,2025-07-14,future_corporate_rnd,LinkedIn,9277,87,156
24,2025-07-14,redefine_how_you_innovate,Meta,18237,149,222
25,2025-07-14,unlock_innovation_autonomously,Google,8861,64,89
26,2025-07-14,unlock_innovation_autonomously,LinkedIn,14223,219,367
27,2025-07-14,unlock_innovation_autonomously,Meta,19972,238,406
28,2025-07-21,autonomous_desireability,LinkedIn,11581,125,159
29,2025-07-21,autonomous_innovation_engine,LinkedIn,9969,165,198
30,2025-07-21,autonomous_innovation_engine,Meta,16222,173,308
31,2025-07-21,chaos_to_clarity,Google,10187,64,106
32,2025-07-21,chaos_to_clarity,Meta,11812,111,155
33,2025-07-21,dynamic_synthetic_personas,LinkedIn,8328,179,267
34,2025-07-21,future_corporate_rnd,Google,10836,79,100
35,2025-07-21,future_corporate_rnd,LinkedIn,9178,85,121
36,2025-07-21,redefine_how_you_innovate,Meta,14205,111,193
37,2025-07-21,unlock_innovation_autonomously,Google,13476,110,171
38,2025-07-21,unlock_innovation_autonomously,LinkedIn,9738,151,225
39,2025-07-21,unlock_innovation_autonomously,Meta,19246,227,331
40,2025-07-28,autonomous_desireability,LinkedIn,11339,144,184
41,2025-07-28,autonomous_innovation_engine,LinkedIn,10687,192,232
42,2025-07-28,autonomous_innovation_engine,Meta,14150,137,213
43,2025-07-28,chaos_to_clarity,Google,4761,16,25
44,2025-07-28,chaos_to_clarity,Meta,7139,38,57
45,2025-07-28,dynamic_synthetic_personas,LinkedIn,14597,311,466
46,2025-07-28,future_corporate_rnd,Google,8379,58,75
47,2025-07-28,future_corporate_rnd,LinkedIn,8608,84,130
48,2025-07-28,redefine_how_you_innovate,Meta,18023,132,191
49,2025-07-28,unlock_innovation_autonomously,Google,13940,104,125
50,2025-07-28,unlock_innovation_autonomously,LinkedIn,16693,273,362
51,2025-07-28,unlock_innovation_autonomously,Meta,22820,246,323
52,2025-08-04,autonomous_desireability,LinkedIn,13705,177,234
53,2025-08-04,autonomous_innovation_engine,LinkedIn,11664,202,255
54,2025-08-04,autonomous_innovation_engine,Meta,10088,97,126
55,2025-08-04,chaos_to_clarity,Google,5366,11,19
56,2025-08-04,chaos_to_clarity,Meta,8553,27,48
57,2025-08-04,dynamic_synthetic_personas,LinkedIn,13270,268,365
58,2025-08-04,future_corporate_rnd,Google,7010,52,78
59,2025-08-04,future_corporate_rnd,LinkedIn,14467,144,199
60,2025-08-04,redefine_how_you_innovate,Meta,15075,111,190
61,2025-08-04,unlock_innovation_autonomously,Google,8030,64,95
62,2025-08-04,unlock_innovation_autonomously,LinkedIn,10387,171,208
63,2025-08-04,unlock_innovation_autonomously,Meta,17184,179,306
64,2025-08-11,autonomous_desireability,LinkedIn,8662,95,126
65,2025-08-11,autonomous_innovation_engine,LinkedIn,13653,210,364
66,2025-08-11,autonomous_innovation_engine,Meta,12332,112,168
67,2025-08-11,chaos_to_clarity,Google,4377,5,6
68,2025-08-11,chaos_to_clarity,Meta,9053,17,28
69,2025-08-11,dynamic_synthetic_personas,LinkedIn,11903,237,290
70,2025-08-11,future_corporate_rnd,Google,10241,66,117
71,2025-08-11,future_corporate_rnd,LinkedIn,7866,77,109
72,2025-08-11,redefine_how_you_innovate,Meta,11019,45,62
73,2025-08-11,unlock_innovation_autonomously,Google,15135,129,171
74,2025-08-11,unlock_innovation_autonomously,LinkedIn,13186,179,249
75,2025-08-11,unlock_innovation_autonomously,Meta,15850,175,250
76,2025-08-18,autonomous_desireability,LinkedIn,13749,175,228
77,2025-08-18,autonomous_innovation_engine,LinkedIn,8883,137,237
78,2025-08-18,autonomous_innovation_engine,Meta,14527,147,231
79,2025-08-18,chaos_to_clarity,Google,6217,5,8
80,2025-08-18,chaos_to_clarity,Meta,9780,10,15
81,2025-08-18,dynamic_synthetic_personas,LinkedIn,17965,401,719
82,2025-08-18,future_corporate_rnd,Google,10228,76,108
83,2025-08-18,future_corporate_rnd,LinkedIn,12539,118,173
84,2025-08-18,redefine_how_you_innovate,Meta,9354,22,32
85,2025-08-18,unlock_innovation_autonomously,Google,8172,64,78
86,2025-08-18,unlock_innovation_autonomously,LinkedIn,16335,223,282
87,2025-08-18,unlock_innovation_autonomously,Meta,14181,144,242
88,2025-08-25,autonomous_innovation_engine,LinkedIn,11841,211,332
89,2025-08-25,autonomous_innovation_engine,Meta,12582,136,240
90,2025-08-25,dynamic_synthetic_personas,LinkedIn,20949,506,640
91,2025-08-25,future_corporate_rnd,Google,5947,39,66
92,2025-08-25,future_corporate_rnd,LinkedIn,9437,101,165
93,2025-08-25,redefine_how_you_innovate,Meta,11278,19,26
94,2025-08-25,unlock_innovation_autonomously,Google,13719,116,158
95,2025-08-25,unlock_innovation_autonomously,LinkedIn,14837,228,333
96,2025-08-25,unlock_innovation_autonomously,Meta,27332,317,425
97,2025-09-01,dynamic_synthetic_personas,LinkedIn,17708,391,509
98,2025-09-01,redefine_how_you_innovate,Meta,9181,8,12
99,2025-09-01,unlock_innovation_autonomously,Google,10982,86,110
100,2025-09-01,unlock_innovation_autonomously,LinkedIn,14351,204,268
101,2025-09-01,unlock_innovation_autonomously,Meta,21965,256,316
